               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11158,            0.017216,             0.07536,           0.0089888,                 0.4,            0.016145,           0.0030459,            0.072939,            0.012387,            0.050104,              0.0991,              0.0001,              0.0001
                   1,             0.10369,            0.014694,            0.078599,           0.0086768,                 0.4,            0.012504,           0.0026035,            0.071672,            0.012695,            0.049931,            0.097299,          0.00029941,          0.00029941
                   2,             0.10599,            0.015026,            0.072482,           0.0070707,                0.35,            0.014407,            0.002787,            0.069778,            0.013197,             0.04963,            0.095498,          0.00049802,          0.00049802
                   3,              0.1039,            0.022412,            0.073904,           0.0068898,                0.35,            0.011069,           0.0026252,            0.067149,            0.013878,              0.0492,            0.093696,          0.00069584,          0.00069584
                   4,            0.099293,            0.018527,            0.074203,           0.0062278,                0.35,            0.015979,           0.0030144,            0.063981,            0.014692,            0.048644,            0.091893,          0.00089287,          0.00089287
                   5,             0.09367,            0.025615,            0.072646,           0.0049423,                 0.3,           0.0088329,           0.0024194,            0.060232,            0.015626,            0.048001,            0.090089,           0.0010891,           0.0010891
                   6,            0.091198,            0.027391,            0.070484,           0.0045732,                 0.3,           0.0082924,           0.0018258,            0.056959,            0.016419,            0.047236,            0.088285,           0.0012846,           0.0012846
                   7,            0.082919,            0.025844,            0.067339,           0.0066861,                0.45,            0.033296,           0.0047981,             0.05374,            0.017197,            0.046385,            0.086479,           0.0014792,           0.0014792
                   8,            0.082888,            0.025256,            0.068333,           0.0071514,                 0.5,            0.038658,           0.0058483,            0.052426,            0.017449,            0.045903,            0.084673,           0.0016731,           0.0016731
                   9,            0.073013,            0.022656,            0.065052,           0.0086935,                 0.6,            0.033086,           0.0061717,            0.050887,             0.01771,            0.045269,            0.082866,           0.0018661,           0.0018661
